date hour cat lat lon
6 12 0 11.8 170.2
6 15 0 11.9275 169.745
6 18 0 12 169.225
6 21 0 12.0302 168.564
7 0 0 12.0875 167.875
7 3 0 12.2059 167.235
7 6 0 12.35 166.575
7 9 0 12.5865 165.988
7 12 0 12.82 165.367
7 15 0 12.9482 164.61
7 18 1 13.075 163.8
7 21 1 13.3034 163.071
8 0 1 13.6 162.35
8 3 1 13.9684 161.606
8 6 1 14.3 160.825
8 9 1 14.4765 160.01
8 12 1 14.575 159.125
8 15 1 14.6698 158.153
8 18 1 14.75 157.125
8 21 1 14.8222 156.089
9 0 2 14.925 155.05
9 3 2 15.1366 154.018
9 6 2 15.3 153.025
9 9 2 15.2898 152.131
9 12 2 15.15 151.225
9 15 2 14.8983 150.165
9 18 2 14.65 149.125
9 21 2 14.5623 148.269
10 0 3 14.525 147.45
10 3 3 14.4433 146.504
10 6 3 14.35 145.6
10 9 3 14.2493 144.879
10 12 4 14.15 144.2
10 15 4 14.0475 143.412
10 18 4 13.975 142.625
10 21 5 13.9653 141.912
11 0 5 13.975 141.225
11 3 5 13.965 140.506
11 6 6 13.925 139.825
11 9 6 13.8021 139.244
11 12 6 13.725 138.675
11 15 6 13.8407 138.011
11 18 6 13.975 137.35
11 21 6 13.9504 136.767
12 0 6 13.9 136.225
12 3 6 13.911 135.707
12 6 6 13.975 135.175
12 9 6 14.1086 134.593
12 12 6 14.25 133.95
12 15 6 14.3239 133.219
12 18 6 14.375 132.5
12 21 6 14.4296 131.912
13 0 6 14.5 131.35
13 3 6 14.6069 130.711
13 6 6 14.725 130.075
13 9 6 14.8192 129.496
13 12 6 14.925 128.95
13 15 6 15.0374 128.414
13 18 6 15.225 127.9
13 21 6 15.5372 127.433
14 0 6 15.925 126.925
14 3 6 16.3251 126.302
14 6 6 16.725 125.6
14 9 6 17.0878 124.878
14 12 6 17.4 124.125
14 15 6 17.7175 123.235
14 18 6 17.975 122.325
14 21 5 18.0325 121.419
15 0 5 18.1 120.7
15 3 4 18.2778 120.153
15 6 4 18.525 119.675
15 9 4 18.9069 119.009
15 12 3 19.225 118.275
15 15 3 19.4903 117.559
15 18 3 19.8 116.925
15 21 2 20.2406 116.154
16 0 2 20.675 115.275
16 1 2 20.8054 114.991
16 2 2 20.9385 114.725
16 3 2 21.0984 114.452
16 4 2 21.2603 114.15
16 5 2 21.4207 113.815
16 6 2 21.525 113.525
16 7 2 21.6741 113.2
16 8 2 21.7893 112.894
16 9 2 21.892 112.536
16 10 2 21.9527 112.201
16 11 2 22.0028 111.871
16 12 2 22.075 111.55
16 15 2 22.2516 110.65
16 18 1 22.45 109.875
16 21 1 22.6797 109.165
17 0 1 22.95 108.525
17 3 1 23.2958 107.877
17 6 0 23.7 107.15
17 9 0 23.9355 106.434
17 12 0 23.94 105.6
17 15 0 24.0212 104.778
17 18 0 24.1 103.9
